Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2016-10-03,2022-10-03,MD,Sun,,,Sun,,2.81,0.6666666666666666,2,1.0,0.14666666666666667,Sun dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; challenging luminaries configuration
2019-07-26,2020-07-02,MD-AD,Sun,Saturn,,Saturn,Sun,2.23,1.37,0,0.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic)
2019-09-19,2019-11-04,MD-AD-PD,Sun,Saturn,Mercury,Mercury,Saturn,5.23,3.23,4,1.0,0.5733333333333334,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2019-11-04,2019-11-23,MD-AD-PD,Sun,Saturn,Ketu,Ketu,Saturn,2.1,1.78,0,0.0,0.03333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); challenging luminaries configuration; Saturn sub-period (malefic); Ketu sub-sub-period (malefic)
2019-11-23,2020-01-19,MD-AD-PD,Sun,Saturn,Venus,Venus,Saturn,3.5,2.53,1,1.0,0.3,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Venus sub-sub-period (benefic)
2020-01-19,2020-02-04,MD-AD-PD,Sun,Saturn,Sun,Sun,Saturn,2.36,1.23,1,1.0,0.03333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Sun sub-sub-period (malefic)
2020-02-04,2020-03-04,MD-AD-PD,Sun,Saturn,Moon,Moon,Saturn,5.34,4.61,3,1.0,0.5333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); triple Arishta-Bhanga protection; balanced solar-lunar influence; Saturn sub-period (malefic); Moon sub-sub-period (benefic)
2020-03-04,2020-03-23,MD-AD-PD,Sun,Saturn,Mars,Mars,Saturn,3.36,2.9,1,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Mars sub-sub-period (malefic)
2020-03-23,2020-05-13,MD-AD-PD,Sun,Saturn,Rahu,Rahu,Saturn,3.91,4.21,1,1.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Saturn sub-period (malefic); Rahu sub-sub-period (malefic)
2020-05-13,2020-06-27,MD-AD-PD,Sun,Saturn,Jupiter,Jupiter,Saturn,5.39,6.88,0,0.0,0.5333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); balanced solar-lunar influence; Saturn sub-period (malefic); Jupiter sub-sub-period (benefic)
2020-07-02,2021-05-04,MD-AD,Sun,Mercury,,Mercury,Sun,3.25,2.34,2,1.0,0.07333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic)
2020-07-02,2020-08-13,MD-AD-PD,Sun,Saturn,Mercury,Mercury,Saturn,3.65,3.46,2,1.0,0.07333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Saturn sub-period (malefic); Mercury sub-sub-period (benefic)
2020-08-13,2020-08-31,MD-AD-PD,Sun,Mercury,Ketu,Ketu,Mercury,5.03,3.52,2,1.0,0.65,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2020-08-31,2020-10-20,MD-AD-PD,Sun,Mercury,Venus,Venus,Mercury,5.62,6.01,1,1.0,0.5020833333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; balanced solar-lunar influence; Mercury sub-period (benefic); Venus sub-sub-period (benefic)
2020-10-20,2020-11-04,MD-AD-PD,Sun,Mercury,Sun,Sun,Mercury,3.07,1.32,2,1.0,0.0,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Sun sub-sub-period (malefic)
2020-11-04,2020-11-29,MD-AD-PD,Sun,Mercury,Moon,Moon,Mercury,3.52,1.32,2,1.0,0.15,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Moon sub-sub-period (benefic)
2020-11-29,2020-12-17,MD-AD-PD,Sun,Mercury,Mars,Mars,Mercury,4.41,1.81,2,1.0,0.65,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Mercury sub-period (benefic); Mars sub-sub-period (malefic)
2020-12-17,2021-01-31,MD-AD-PD,Sun,Mercury,Rahu,Rahu,Mercury,4.4,5.1,2,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Rahu sub-sub-period (malefic)
2021-01-31,2021-03-12,MD-AD-PD,Sun,Mercury,Jupiter,Jupiter,Mercury,2.79,0.37,1,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Mercury sub-period (benefic); Jupiter sub-sub-period (benefic)
2021-03-12,2021-04-29,MD-AD-PD,Sun,Mercury,Saturn,Saturn,Mercury,3.13,2.18,2,1.0,0.06666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Mercury sub-period (benefic); Saturn sub-sub-period (malefic)
2021-05-04,2021-09-07,MD-AD,Sun,Ketu,,Ketu,Sun,6.87,10.0,2,1.0,0.5333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Ketu sub-period (malefic)
2021-05-04,2021-05-11,MD-AD-PD,Sun,Mercury,Ketu,Ketu,Mercury,6.41,8.32,2,1.0,0.5333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Mercury sub-period (benefic); Ketu sub-sub-period (malefic)
2021-05-11,2021-06-01,MD-AD-PD,Sun,Ketu,Venus,Venus,Ketu,6.79,9.25,2,1.0,0.5333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; balanced solar-lunar influence; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2021-06-01,2021-06-07,MD-AD-PD,Sun,Ketu,Sun,Sun,Ketu,3.56,4.03,1,1.0,0.06666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Sun sub-sub-period (malefic)
2021-06-07,2021-06-17,MD-AD-PD,Sun,Ketu,Moon,Moon,Ketu,3.75,4.03,1,1.0,0.06666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Moon sub-sub-period (benefic)
2021-06-17,2021-06-24,MD-AD-PD,Sun,Ketu,Mars,Mars,Ketu,4.01,4.5,1,1.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Mars sub-sub-period (malefic)
2021-06-24,2021-07-13,MD-AD-PD,Sun,Ketu,Rahu,Rahu,Ketu,4.69,6.5,2,1.0,0.14666666666666667,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic); Rahu sub-sub-period (malefic)
2021-07-13,2021-07-30,MD-AD-PD,Sun,Ketu,Jupiter,Jupiter,Ketu,4.0,3.93,1,1.0,0.22333333333333333,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-07-30,2021-08-18,MD-AD-PD,Sun,Ketu,Saturn,Saturn,Ketu,4.73,6.45,2,1.0,0.18333333333333332,Sun dasha (malefic); lord in exceptionally strong (exalted/own sign); strong protective cancellations; challenging luminaries configuration; Ketu sub-period (malefic); Saturn sub-sub-period (malefic)
