Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2021-06-30,2021-07-16,MD-AD-PD,Mars,Sun,Jupiter,Jupiter,Sun,2.23,1.03,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Jupiter sub-sub-period (benefic)
2021-07-16,2021-08-05,MD-AD-PD,Mars,Sun,Saturn,Saturn,Sun,2.96,2.57,1,1.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Sun sub-period (malefic); Saturn sub-sub-period (malefic)
2021-08-05,2021-08-23,MD-AD-PD,Mars,Sun,Mercury,Mercury,Sun,3.51,3.81,0,0.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Mercury sub-sub-period (benefic)
2021-08-23,2021-08-30,MD-AD-PD,Mars,Sun,Ketu,Ketu,Sun,5.06,7.01,1,1.0,0.5020833333333333,Mars dasha (malefic); lord in strong; moderate protective influence; balanced solar-lunar influence; Sun sub-period (malefic); Ketu sub-sub-period (malefic)
2021-08-30,2021-09-20,MD-AD-PD,Mars,Sun,Venus,Venus,Sun,5.65,3.55,2,1.0,0.96875,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); strong protective cancellations; strong luminaries support; Sun sub-period (malefic); Venus sub-sub-period (benefic)
2021-09-21,2022-04-19,MD-AD,Mars,Moon,,Moon,Mars,2.36,1.13,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic)
2021-09-21,2021-10-09,MD-AD-PD,Mars,Sun,Moon,Moon,Sun,2.46,1.67,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2021-10-09,2021-10-21,MD-AD-PD,Mars,Moon,Mars,Mars,Moon,1.91,0.23,0,0.0,0.07333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Moon sub-period (benefic); Mars sub-sub-period (malefic)
2021-10-21,2021-11-21,MD-AD-PD,Mars,Moon,Rahu,Rahu,Moon,2.65,2.27,1,1.0,0.03333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Rahu sub-sub-period (malefic)
2021-11-21,2021-12-18,MD-AD-PD,Mars,Moon,Jupiter,Jupiter,Moon,3.62,2.07,1,1.0,0.3,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Moon sub-period (benefic); Jupiter sub-sub-period (benefic)
