Date,End_Date,Type,mahadasha_lord,antardasha_lord,pratyantardasha_lord,Planet,Parent_Planet,Auspiciousness_Score,Dasha_Lord_Strength,Arishta_Protections,Protection_Score,Sun_Moon_Support,Astrological_Significance
2021-05-17,2021-06-09,MD-AD-PD,Mars,Ketu,Saturn,Saturn,Ketu,4.05,4.98,1,1.0,0.3458333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Ketu sub-period (malefic); Saturn sub-sub-period (malefic)
2021-06-09,2021-06-29,MD-AD-PD,Mars,Ketu,Mercury,Mercury,Ketu,4.09,3.88,0,0.0,0.5333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Ketu sub-period (malefic); Mercury sub-sub-period (benefic)
2021-07-01,2021-09-08,MD-AD-PD,Mars,Ketu,Venus,Venus,Ketu,3.1,3.07,0,0.0,0.14666666666666667,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Ketu sub-period (malefic); Venus sub-sub-period (benefic)
2021-09-08,2021-09-29,MD-AD-PD,Mars,Venus,Sun,Sun,Venus,6.12,4.85,4,1.0,0.61875,Mars dasha (malefic); lord in moderate strength; triple Arishta-Bhanga protection; balanced solar-lunar influence; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2021-09-29,2021-11-02,MD-AD-PD,Mars,Venus,Moon,Moon,Venus,4.24,3.84,1,1.0,0.22333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Moon sub-sub-period (benefic)
2021-11-02,2021-11-27,MD-AD-PD,Mars,Venus,Mars,Mars,Venus,3.04,3.0,0,0.0,0.15,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Mars sub-sub-period (malefic)
2021-11-27,2022-01-28,MD-AD-PD,Mars,Venus,Rahu,Rahu,Venus,3.9,4.4,1,1.0,0.3,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Rahu sub-sub-period (malefic)
2022-01-28,2022-03-24,MD-AD-PD,Mars,Venus,Jupiter,Jupiter,Venus,3.27,3.7,0,0.0,0.03333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); challenging luminaries configuration; Venus sub-period (benefic); Jupiter sub-sub-period (benefic)
2022-03-24,2022-05-29,MD-AD-PD,Mars,Venus,Saturn,Saturn,Venus,4.82,6.69,1,1.0,0.22333333333333333,Mars dasha (malefic); lord in moderate strength; moderate protective influence; challenging luminaries configuration; Venus sub-period (benefic); Saturn sub-sub-period (malefic)
2022-05-29,2022-07-26,MD-AD-PD,Mars,Venus,Mercury,Mercury,Venus,3.74,2.51,0,0.0,0.5333333333333333,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); balanced solar-lunar influence; Venus sub-period (benefic); Mercury sub-sub-period (benefic)
2022-07-26,2022-08-19,MD-AD-PD,Mars,Venus,Ketu,Ketu,Venus,4.64,6.07,0,0.0,0.3,Mars dasha (malefic); lord in moderate strength; challenging luminaries configuration; Venus sub-period (benefic); Ketu sub-sub-period (malefic)
2022-08-25,2022-09-01,MD-AD-PD,Mars,Venus,Sun,Sun,Venus,5.34,3.48,3,1.0,0.78125,Mars dasha (malefic); lord in challenged (debilitated/enemy sign); triple Arishta-Bhanga protection; strong luminaries support; Venus sub-period (benefic); Sun sub-sub-period (malefic)
2022-09-01,2022-09-11,MD-AD-PD,Mars,Sun,Moon,Moon,Sun,5.38,4.91,2,1.0,0.5420833333333334,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Moon sub-sub-period (benefic)
2022-09-11,2022-09-18,MD-AD-PD,Mars,Sun,Mars,Mars,Sun,5.19,4.91,2,1.0,0.5420833333333334,Mars dasha (malefic); lord in moderate strength; strong protective cancellations; balanced solar-lunar influence; Sun sub-period (malefic); Mars sub-sub-period (malefic)
